CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,TotalItems,ActiveMonths,TenureDays,PurchaseSpanDays,Country,R,F,M,RFM_Score,RFM_Segment,Churn_90D
12347.0,29,5,2790.86,558.172,82,1590,5,267,238,Iceland,3,4,5,12,High Value,0
12348.0,148,3,1487.24,495.74666666666667,22,2124,3,258,110,Finland,1,2,4,7,Medium Value,0
12352.0,162,5,1561.81,312.36199999999997,26,254,2,196,34,Norway,1,4,4,9,Medium Value,0
12356.0,145,2,2753.08,1376.54,53,1586,2,225,80,Portugal,1,1,5,7,Medium Value,0
12359.0,89,3,3495.73,1165.2433333333333,135,965,3,231,142,Cyprus,2,2,5,9,Medium Value,0
12360.0,12,2,1618.28,809.14,63,674,2,100,88,Austria,5,1,4,10,High Value,0
12362.0,20,4,1747.3500000000001,436.83750000000003,89,988,4,195,175,Belgium,4,3,4,11,High Value,0
12363.0,9,2,552.0,276.0,23,408,2,142,133,Unspecified,5,1,2,8,Medium Value,1
12370.0,174,3,2802.66,934.2199999999999,125,1972,2,260,86,Cyprus,1,2,5,8,Medium Value,0
12372.0,112,2,914.9200000000001,457.46000000000004,32,592,2,196,84,Denmark,1,1,3,5,Lower Value,0
12377.0,215,2,1628.1200000000001,814.0600000000001,72,944,2,254,39,Switzerland,1,1,4,6,Lower Value,1
12383.0,84,5,1850.56,370.11199999999997,84,1532,5,252,168,Belgium,2,4,4,10,High Value,1
12388.0,48,4,1668.3400000000001,417.08500000000004,50,760,4,226,178,Australia,3,3,4,10,High Value,0
12393.0,145,3,1061.1000000000001,353.70000000000005,33,522,2,232,87,Australia,1,2,3,6,Lower Value,0
12395.0,12,8,1899.57,237.44625,65,1629,6,271,259,Belgium,5,5,4,14,Very High Value,0
12399.0,19,4,1108.65,277.1625,47,1178,4,161,142,Belgium,4,3,3,10,High Value,1
12407.0,34,4,1407.36,351.84,50,1237,3,164,130,Belgium,3,3,3,9,Medium Value,0
12408.0,75,3,1491.77,497.25666666666666,58,734,2,160,85,Belgium,2,2,4,8,Medium Value,0
12412.0,37,2,890.74,445.37,34,599,2,69,32,Denmark,3,1,3,7,Medium Value,0
12413.0,136,2,563.9,281.95,25,205,2,237,101,France,1,1,2,4,Lower Value,0
12414.0,117,3,562.4100000000001,187.47000000000003,16,300,3,210,93,Austria,1,2,2,5,Lower Value,1
12415.0,13,13,99146.16,7626.627692307693,377,63865,8,237,224,Australia,5,5,5,15,Very High Value,0
12417.0,6,7,2816.52,402.36,132,1229,6,257,251,Belgium,5,4,5,14,Very High Value,0
12421.0,14,3,628.5600000000001,209.52,25,407,3,219,205,Spain,4,2,2,8,Medium Value,0
12422.0,68,2,655.86,327.93,31,288,2,224,156,Switzerland,2,1,2,5,Lower Value,0
12423.0,0,7,1650.67,235.81,86,1136,7,253,253,Belgium,5,4,4,13,Very High Value,1
12428.0,20,8,7548.12,943.515,252,3386,4,183,163,Finland,4,5,5,14,Very High Value,0
12429.0,72,3,2844.88,948.2933333333334,62,1045,3,265,193,Denmark,2,2,5,9,Medium Value,1
12431.0,19,11,4807.07,437.00636363636363,134,2098,6,273,254,Australia,4,5,5,14,Very High Value,0
12437.0,77,9,2476.73,275.1922222222222,58,1643,6,231,154,France,2,5,4,11,High Value,0
12444.0,21,2,2627.27,1313.635,96,650,2,71,50,Norway,4,1,5,10,High Value,0
12449.0,29,2,1636.88,818.44,71,657,2,87,58,Belgium,3,1,4,8,Medium Value,0
12451.0,118,2,5307.82,2653.91,162,4105,2,224,106,Switzerland,1,1,5,7,Medium Value,0
12455.0,27,5,2176.36,435.27200000000005,67,1766,4,196,169,Cyprus,4,4,4,12,High Value,0
12456.0,31,2,2265.4,1132.7,77,1073,2,154,123,Switzerland,3,1,4,8,Medium Value,0
12463.0,75,3,985.7900000000001,328.5966666666667,51,577,3,141,66,Belgium,2,2,3,7,Medium Value,0
12464.0,6,6,780.55,130.09166666666667,6,81,4,209,203,Belgium,5,4,2,11,High Value,0
12468.0,87,2,729.54,364.77,36,366,2,216,129,Germany,2,1,2,5,Lower Value,1
12471.0,7,19,11081.0,583.2105263157895,108,4340,8,264,257,Germany,5,5,5,15,Very High Value,0
12472.0,38,5,4927.6,985.5200000000001,180,3088,5,269,231,Germany,3,4,5,12,High Value,0
12473.0,14,2,1175.75,587.875,60,853,2,91,77,Germany,4,1,3,8,Medium Value,0
12474.0,37,12,3896.38,324.6983333333333,144,2484,6,229,192,Germany,3,5,5,13,Very High Value,0
12476.0,41,6,3191.67,531.945,91,1132,6,261,220,Germany,3,4,5,12,High Value,0
